Accuracy,Precision,Recall,F1-score
0.5059,0.6485,0.5056,0.5227
0.7662,0.7978,0.7659,0.763
0.9021,0.9054,0.902,0.8999
0.9489,0.9501,0.9489,0.9487
0.9656,0.9672,0.9656,0.9654
0.9728,0.9739,0.9728,0.9726
0.9802,0.9806,0.9802,0.9803
0.9834,0.9838,0.9834,0.9835
0.9852,0.9854,0.9851,0.9852
